scan 1 covering-modulus-8 | not attempted yet | UNKNOWN None | a search saved its state to resume | new 0 moves 3 dropped 0 refused 0
scan 2 no-three-in-line-61 | not attempted yet | UNKNOWN None | a search saved its state to resume | new 0 moves 3 dropped 0 refused 0
scan 3 ramsey-3-16 | not attempted yet | UNKNOWN None | a search saved its state to resume | new 0 moves 3 dropped 0 refused 0
scan 4 van-der-waerden-10-3 | not attempted yet | UNKNOWN None | a search saved its state to resume | new 0 moves 3 dropped 0 refused 0
scan 5 van-der-waerden-11-3 | not attempted yet | UNKNOWN None | a search saved its state to resume | new 0 moves 3 dropped 0 refused 0
scan 6 van-der-waerden-7-3 | not attempted yet | UNKNOWN None | a search saved its state to resume | new 0 moves 3 dropped 0 refused 0
scan 7 van-der-waerden-8-3 | not attempted yet | UNKNOWN None | a search saved its state to resume | new 0 moves 3 dropped 0 refused 0
scan 8 window-schinzel-beyond-bounds | not attempted yet | CHECKED_RESEARCH found | goal settled by checked results | new 8 moves 8 dropped 0 refused 0
scan 9 window-matrix-multiplication-omega | last 4 of 7 rounds gained 0, 0, 0, 0 checked results in 3 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 10 window-no-three-in-line | last 4 of 7 rounds gained 0, 0, 0, 0 checked results in 5 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 11 halving-map | last 4 of 7 rounds gained 1, 1, 1, 1 checked results in 10 s | CHECKED_RESEARCH proved | goal settled by checked results | new 1 moves 1 dropped 0 refused 0
scan 12 window-congruent-numbers | last 4 of 8 rounds gained 0, 0, 0, 0 checked results in 5 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 13 window-riesel-smallest | last 4 of 7 rounds gained 0, 0, 0, 0 checked results in 5 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 14 window-heilbronn-triangle | last 4 of 7 rounds gained 0, 0, 0, 0 checked results in 5 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 15 window-erdos-arithmetic-progressions | last 4 of 8 rounds gained 0, 0, 0, 0 checked results in 5 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 16 window-restriction | last 4 of 7 rounds gained 0, 0, 0, 0 checked results in 5 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 17 window-mahler-3-2@4 | last 4 of 6 rounds gained 0, 0, 0, 0 checked results in 5 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 18 window-andrews-curtis | last 4 of 8 rounds gained 0, 0, 0, 0 checked results in 5 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 19 window-mahler-3-2@3 | last 4 of 6 rounds gained 0, 0, 0, 0 checked results in 5 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 20 window-hadamard | last 4 of 8 rounds gained 0, 0, 0, 0 checked results in 5 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 21 map-3n-minus-1 | last 4 of 7 rounds gained 0, 0, 0, 0 checked results in 5 s | CHECKED_RESEARCH refuted | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 22 window-unit-distances | last 4 of 7 rounds gained 0, 0, 0, 0 checked results in 5 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 23 window-catalan-dickson | last 4 of 8 rounds gained 0, 0, 0, 0 checked results in 5 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 24 window-five-x-plus-one | last 4 of 8 rounds gained 0, 0, 0, 0 checked results in 5 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 25 window-kissing-number-5 | last 4 of 7 rounds gained 0, 0, 0, 0 checked results in 5 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 26 window-hot-spots | last 4 of 7 rounds gained 0, 0, 0, 0 checked results in 5 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 27 window-mahler-volume | last 4 of 7 rounds gained 0, 0, 0, 0 checked results in 5 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 28 window-barnette | last 4 of 8 rounds gained 0, 0, 0, 0 checked results in 5 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 29 window-jacobian | last 4 of 7 rounds gained 0, 0, 0, 0 checked results in 5 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 30 window-erdos-gyarfas | last 4 of 8 rounds gained 0, 0, 0, 0 checked results in 5 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 31 window-inverse-galois | last 4 of 7 rounds gained 0, 0, 0, 0 checked results in 5 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 32 window-ramsey-r55 | last 4 of 7 rounds gained 0, 0, 0, 0 checked results in 5 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 33 window-erdos-ulam | last 4 of 8 rounds gained 0, 0, 0, 0 checked results in 5 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 34 window-thomson | last 4 of 7 rounds gained 0, 0, 0, 0 checked results in 5 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 35 window-brocard | last 4 of 8 rounds gained 0, 0, 0, 0 checked results in 5 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 36 window-inscribed-square | last 4 of 7 rounds gained 0, 0, 0, 0 checked results in 5 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 37 window-list-coloring | last 4 of 7 rounds gained 0, 0, 0, 0 checked results in 5 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 38 window-conway-99-graph | last 4 of 8 rounds gained 0, 0, 0, 0 checked results in 5 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 39 window-pi-normal@2 | last 4 of 6 rounds gained 0, 0, 0, 0 checked results in 5 s | UNKNOWN None | no untried move for any open target | new 0 moves 2 dropped 0 refused 0
scan 40 window-odd-weird | last 4 of 7 rounds gained 0, 0, 0, 0 checked results in 5 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 41 window-projective-plane-12 | last 4 of 7 rounds gained 0, 0, 0, 0 checked results in 5 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 42 window-sidorenko | last 4 of 7 rounds gained 0, 0, 0, 0 checked results in 5 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 43 window-total-coloring | last 4 of 7 rounds gained 0, 0, 0, 0 checked results in 5 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 44 map-5n-plus-1 | last 4 of 7 rounds gained 0, 0, 0, 0 checked results in 5 s | CHECKED_RESEARCH refuted | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 45 window-fibonacci-primes | last 4 of 8 rounds gained 0, 0, 0, 0 checked results in 5 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
