scan 1 window-schinzel-beyond-bounds | last 1 of 1 rounds gained 8 checked results in 3 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 2 halving-map | last 4 of 8 rounds gained 1, 1, 1, 1 checked results in 8 s | CHECKED_RESEARCH proved | goal settled by checked results | new 1 moves 1 dropped 0 refused 0
scan 3 window-riesel-smallest | last 4 of 8 rounds gained 0, 0, 0, 0 checked results in 4 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 4 window-congruent-numbers | last 4 of 9 rounds gained 0, 0, 0, 0 checked results in 4 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 5 window-andrews-curtis | last 4 of 9 rounds gained 0, 0, 0, 0 checked results in 4 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 6 window-heilbronn-triangle | last 4 of 8 rounds gained 0, 0, 0, 0 checked results in 4 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 7 window-mahler-3-2@4 | last 4 of 7 rounds gained 0, 0, 0, 0 checked results in 4 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 8 window-no-three-in-line | last 4 of 8 rounds gained 0, 0, 0, 0 checked results in 4 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 9 window-erdos-arithmetic-progressions | last 4 of 9 rounds gained 0, 0, 0, 0 checked results in 4 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 10 window-restriction | last 4 of 8 rounds gained 0, 0, 0, 0 checked results in 4 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 11 window-hadamard | last 4 of 9 rounds gained 0, 0, 0, 0 checked results in 4 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 12 window-unit-distances | last 4 of 8 rounds gained 0, 0, 0, 0 checked results in 4 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 13 window-fibonacci-primes | last 4 of 9 rounds gained 0, 0, 0, 0 checked results in 4 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 14 window-barnette | last 4 of 9 rounds gained 0, 0, 0, 0 checked results in 4 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 15 window-odd-covering | last 4 of 8 rounds gained 0, 0, 0, 0 checked results in 4 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 16 window-mahler-3-2 | last 4 of 8 rounds gained 0, 0, 0, 0 checked results in 4 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 17 window-kissing-number-5 | last 4 of 8 rounds gained 0, 0, 0, 0 checked results in 4 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 18 window-inverse-galois | last 4 of 8 rounds gained 0, 0, 0, 0 checked results in 4 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
